time,FOL_X,FOL_Y,FOL_Z,FOR_X,FOR_Y,FOR_Z,FVL_X,FVL_Y,FVL_Z,FVR_X,FVR_Y,FVR_Z,EOL,EOR,PPLX,PPLY,PPRX,PPRY,AOIName,PCL_X,PCL_Y,PCL_Z,PCR_X,PCR_Y,PCR_Z
﻿0.044444,-3.815108,2.877477,0.819893,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.522988,44.792736,80.675835,0.078528,4.806151,-19.357124
0.133333,-3.824097,2.911035,0.805598,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.575921,44.916370,80.705406,0.728186,4.842788,-19.155373
0.200000,-3.932816,2.519192,0.803761,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.570809,44.907944,80.718224,0.804208,4.885539,-19.176344
0.444444,-4.030828,2.522305,0.725668,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.554414,44.758175,80.748985,0.699902,4.930631,-19.441025
0.466667,-3.940348,2.899758,0.687347,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,4.544763,44.756973,80.752586,0.724844,4.916131,-19.445097
0.644444,-3.718294,2.768842,1.053516,-4.056000,-2.963696,1.080745,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.273040,0.511680,0.000000,0.000000,0.000000,0.000000,NULL,4.561955,44.774574,80.757851,0.667684,5.007498,-19.420366
0.666667,-3.717266,2.788210,1.082684,-4.039250,-2.961554,1.070007,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.272051,0.647274,0.000000,0.000000,0.000000,0.000000,NULL,4.566205,44.775356,80.764610,0.678087,5.031759,-19.423019
0.688889,-3.841632,2.785686,1.106944,-4.010590,-2.957277,1.054944,0.970856,0.098160,-0.218628,0.991745,0.057999,-0.114212,0.347201,0.786638,0.423522,0.373127,0.003746,0.349336,NULL,4.568055,44.775612,80.766075,0.683960,5.042134,-19.421268
0.711111,-3.781648,2.780237,1.084583,-4.019797,-2.957147,1.053093,0.984070,0.089066,-0.153778,0.988083,0.041000,-0.148285,0.395894,0.819000,0.424079,0.385304,-0.001198,0.336053,NULL,4.573205,44.775009,80.764458,0.673187,5.039552,-19.427994
0.733333,-3.762604,2.779247,1.080832,-3.946822,-2.953827,1.032047,0.988052,0.085480,-0.128143,0.984833,0.060440,-0.162552,0.463482,0.839986,0.423862,0.393342,0.001867,0.328023,NULL,4.585309,44.776348,80.760963,0.669449,5.033856,-19.432568
0.755556,-3.716167,2.773960,1.066231,-3.970256,-2.954174,1.035326,0.982513,0.058914,-0.176575,0.989273,0.060837,-0.132690,0.611030,0.873971,0.418479,0.375981,0.002276,0.335566,NULL,4.592095,44.780319,80.752434,0.686411,5.042278,-19.413683
0.777778,-3.721814,2.774260,1.066779,-3.987497,-2.954083,1.038628,0.988373,0.061096,-0.139191,0.992310,0.053589,-0.111511,0.677270,0.883669,0.419620,0.386243,0.000173,0.341428,NULL,4.602201,44.779232,80.757439,0.708319,5.053213,-19.403568
0.800000,-3.755309,2.779730,1.071112,-3.997516,-2.954199,1.039894,0.985153,0.071121,-0.156204,0.991882,0.055405,-0.114410,0.722616,0.883288,0.418536,0.378690,0.000757,0.339855,NULL,4.614453,44.787121,80.764030,0.714309,5.057195,-19.384335
