Longitude,Latitude,Height
106.8636,29.71557617,401.0456
106.8636,29.71557617,401.2425
106.8636,29.71557617,400.7916
106.8636,29.71557617,400.6799
106.8636,29.71557617,400.5636
106.8636,29.71557617,400.4346
106.8636,29.71557617,401.3628
106.8636,29.71557617,401.3779
106.8636,29.71557617,400.6263
106.8636,29.71557617,400.7677
106.8636,29.71557617,401.3936
106.8636,29.71557617,401.1688
106.8636,29.71557617,400.6786
106.8636,29.71557617,400.7554
106.8636,29.71557617,401.0551
106.8636,29.71557617,400.7932
106.8636,29.71557617,401.0492
106.8636,29.71557617,401.0106
106.8636,29.71557617,400.6781
106.8636,29.71557617,401.3893
106.8636,29.71557617,400.5976
106.8636,29.71557617,401.1019
106.8636,29.71557617,401.4109
106.8636,29.71557617,400.8836
106.8636,29.71557617,401.2742
106.8636,29.71557617,400.6825
106.8636,29.71557617,401.2044
106.8636,29.71557617,401.2501
106.8636,29.71557617,400.6731
106.8636,29.71557617,401.2073
106.8636,29.71557617,400.9187
106.8636,29.71557617,401.0852
106.8636,29.71557617,401.1282
106.8636,29.71557617,401.3067
106.8636,29.71557617,401.0066
106.8636,29.71557617,400.8828
106.8636,29.71557617,401.2136
106.8636,29.71557617,400.8293
106.8636,29.71557617,401.092
106.8636,29.71557617,400.5585
106.8636,29.71557617,400.5341
106.8636,29.71557617,400.7635
106.8636,29.71557617,401.1939
106.8636,29.71557617,401.0633
106.8636,29.71557617,401.2105
106.8636,29.71557617,400.4953
106.8636,29.71557617,401.0914
106.8636,29.71557617,400.8724
106.8636,29.71557617,400.5112
106.8636,29.71557617,401.0645
106.8636,29.71557617,400.5223
106.8636,29.71557617,401.0874
106.8636,29.71557617,400.7282
106.8636,29.71557617,401.0898
106.8636,29.71557617,401.2158
106.8636,29.71557617,400.8392
106.8636,29.71557617,401.4072
106.8636,29.71557617,401.1449
106.8636,29.71557617,401.2626
106.8636,29.71557617,401.2505
106.8636,29.71557617,400.6306
106.8636,29.71557617,401.4008
106.8636,29.71557617,400.9192
106.8636,29.71557617,400.7751
106.8636,29.71557617,400.4797
106.8636,29.71557617,401.3086
106.8636,29.71557617,400.6387
106.8636,29.71557617,401.1188
106.8636,29.71557617,401.3897
106.8636,29.71557617,400.5103
106.8636,29.71557617,401.0283
106.8636,29.71557617,401.383
106.8636,29.71557617,401.319
106.8636,29.71557617,400.6224
106.8636,29.71557617,400.9814
106.8636,29.71557617,401.2919
106.8636,29.71557617,401.2666
106.8636,29.71557617,401.1524
106.8636,29.71557617,401.3396
106.8636,29.71557617,400.9451
106.8636,29.71557617,400.9414
106.8636,29.71557617,400.9521
106.8636,29.71557617,401.1457
106.8636,29.71557617,400.4202
106.8636,29.71557617,400.5987
106.8636,29.71557617,401.1017
106.8636,29.71557617,401.1269
106.8636,29.71557617,401.1362
106.8636,29.71557617,400.9455
106.8636,29.71557617,400.4901
106.8636,29.71557617,400.8427
106.8636,29.71557617,401.189
106.8636,29.71557617,401.1409
106.8636,29.71557617,400.5489
106.8636,29.71557617,400.8836
106.8636,29.71557617,400.8712
106.8636,29.71557617,401.0952
106.8636,29.71557617,401.233
106.8636,29.71557617,401.2837
106.8636,29.71557617,401.0826
106.8636,29.71557617,401.0246
106.8636,29.71557617,400.5818
106.8636,29.71557617,401.3883
106.8636,29.71557617,401.0037
106.8636,29.71557617,400.4394
106.8636,29.71557617,401.4006
106.8636,29.71557617,400.4479
106.8636,29.71557617,400.7577
106.8636,29.71557617,401.0422
106.8636,29.71557617,400.6071
106.8636,29.71557617,400.8033
106.8636,29.71557617,401.3691
106.8636,29.71557617,400.4654
106.8636,29.71557617,401.1774
106.8636,29.71557617,400.7373
106.8636,29.71557617,400.8509
106.8636,29.71557617,401.1194
106.8636,29.71557617,400.5984
106.8636,29.71557617,400.9364
106.8636,29.71557617,400.7028
106.8636,29.71557617,401.104
106.8636,29.71557617,400.9945
106.8636,29.71557617,400.7269
106.8636,29.71557617,400.8202
106.8636,29.71557617,400.9787
106.8636,29.71557617,400.8971
